hour,long_coord,lat_coord,concentration(ppt)
6,-2.395,55.755,0.03213066
6,-2.395,55.805,0.029947159
6,-2.395,55.855,0.015594025
6,-2.395,55.905,0.003976577
6,-2.395,55.955,0.000652869
6,-2.395,56.005,0.000653169
6,-2.345,55.605,0.00092602
6,-2.345,55.655,0.002304144
6,-2.345,55.705,0.010580325
6,-2.345,55.755,0.028540955
6,-2.345,55.805,0.029947159
6,-2.345,55.855,0.011443545
6,-2.345,55.905,0.004807572
6,-2.345,55.955,0.001207406
6,-2.295,55.605,0.00065081
6,-2.295,55.655,0.002028638
6,-2.295,55.705,0.010856128
6,-2.295,55.755,0.021913812
6,-2.295,55.805,0.021103323
6,-2.295,55.855,0.018637709
6,-2.295,55.905,0.002591586
6,-2.295,55.955,0.001207406
6,-2.245,55.605,0.00065081
6,-2.245,55.655,0.003406169
6,-2.245,55.705,0.010028719
6,-2.245,55.755,0.022466076
6,-2.245,55.805,0.027459829
6,-2.245,55.855,0.013657133
6,-2.245,55.905,0.006192563
6,-2.245,55.955,0.001484674
6,-2.195,55.555,0.000650514
6,-2.195,55.605,0.001201229
6,-2.195,55.655,0.003957182
6,-2.195,55.705,0.01168354
6,-2.195,55.755,0.019152502
6,-2.195,55.805,0.028288938
6,-2.195,55.855,0.013103736
6,-2.195,55.905,0.005361568
6,-2.195,55.955,0.000930137
6,-2.145,55.605,0.001201229
6,-2.145,55.655,0.004508194
6,-2.145,55.705,0.009201308
6,-2.145,55.755,0.01860024
6,-2.145,55.805,0.019997846
6,-2.145,55.855,0.01227364
6,-2.145,55.905,0.003976577
6,-2.145,55.955,0.000652869
6,-2.095,55.455,0.000649924
6,-2.095,55.555,0.000650514
6,-2.095,55.605,0.001476439
6,-2.095,55.655,0.0047837
6,-2.095,55.705,0.012786753
6,-2.095,55.755,0.0155628
6,-2.095,55.805,0.016957778
6,-2.095,55.855,0.009783352
6,-2.095,55.905,0.003145582
6,-2.095,55.955,0.001207406
6,-2.045,55.555,0.000650514
6,-2.045,55.605,0.00092602
6,-2.045,55.655,0.007538763
6,-2.045,55.705,0.011131932
6,-2.045,55.755,0.024122861
6,-2.045,55.805,0.015852301
6,-2.045,55.855,0.005909572
6,-2.045,55.905,0.003145582
6,-2.045,55.955,0.001207406
6,-1.995,55.555,0.000925428
6,-1.995,55.605,0.001201229
6,-1.995,55.655,0.005334713
6,-1.995,55.705,0.008925505
6,-1.995,55.755,0.020533159
6,-1.995,55.805,0.012535865
6,-1.995,55.855,0.008953256
6,-1.995,55.905,0.002868584
6,-1.995,55.955,0.001207406
6,-1.945,55.555,0.000650514
6,-1.945,55.605,0.001476439
6,-1.945,55.655,0.003130663
6,-1.945,55.705,0.010028719
6,-1.945,55.755,0.016667324
6,-1.945,55.805,0.013641343
6,-1.945,55.855,0.005079476
6,-1.945,55.905,0.002591586
6,-1.945,55.955,0.000930137
6,-1.895,55.605,0.00092602
6,-1.895,55.655,0.0047837
6,-1.895,55.705,0.009477112
6,-1.895,55.755,0.013353753
6,-1.895,55.805,0.011430386
6,-1.895,55.855,0.003972682
6,-1.895,55.905,0.002314588
6,-1.895,55.955,0.000652869
6,-1.845,55.505,0.000650219
6,-1.845,55.605,0.001751649
6,-1.845,55.655,0.004508194
6,-1.845,55.705,0.008098095
6,-1.845,55.755,0.011420838
6,-1.845,55.805,0.007837581
6,-1.845,55.855,0.005079476
6,-1.845,55.905,0.001206595
6,-1.845,55.955,0.000930137
6,-1.795,55.505,0.000924838
6,-1.795,55.555,0.000650514
6,-1.795,55.605,0.002026859
6,-1.795,55.655,0.0047837
6,-1.795,55.705,0.008373899
6,-1.795,55.755,0.010868576
6,-1.795,55.805,0.005073885
6,-1.795,55.855,0.003972682
6,-1.795,55.905,0.000652598
6,-1.745,55.505,0.000650219
6,-1.745,55.555,0.000650514
6,-1.745,55.605,0.002302069
6,-1.745,55.655,0.004232688
6,-1.745,55.705,0.007822291
6,-1.745,55.755,0.007002742
6,-1.745,55.805,0.004797515
6,-1.745,55.855,0.00231249
6,-1.745,55.905,0.000929596
6,-1.695,55.555,0.000925428
6,-1.695,55.605,0.003127698
6,-1.695,55.655,0.005334713
6,-1.695,55.705,0.007270685
6,-1.695,55.755,0.003413041
6,-1.695,55.805,0.002033818
6,-1.695,55.855,0.001205696
6,-1.645,55.555,0.000925428
6,-1.645,55.605,0.001751649
6,-1.645,55.655,0.00561022
6,-1.645,55.705,0.004788454
